bin_id,asin_count,expected_quantity,asin_list
02920,1,2,B00IOFD096
109308,1,6,B01DCO56PY
112602,1,1,B00GM9NPIW
103764,1,2,B00IWU5MDK
104910,1,2,B00008LMB5
105811,1,2,B000C81WGG
108548,1,1,B00XJ0I1WW
110645,1,1,B01FVS4JHK
05613,1,2,B013TGFWMW
109978,1,1,B00DMPGFSQ
03037,1,1,B000VPXIZS
08289,1,1,B00J3W2J00
113024,1,2,B019EOIIJM
112898,1,1,B011NQ2BCY
110262,1,1,B003A6H2Y8
105517,1,1,B01D8N9XQM
106088,1,1,B00P8ZAWK0
06703,1,1,B00008KA7I
03624,1,1,B01ASV6DAQ
112808,1,1,B0053T4PHC
04281,1,5,B0070WTV4M
106596,1,1,B00NCMH0JC
01849,1,1,B003EMKNPS
08217,1,3,B000UH7SVW
105651,1,30,B00CIECDEM
07257,1,1,B00B9L7ZFW
03031,1,2,B005FQH3B8
103970,1,1,B014JNP2G0
113735,1,1,B00PU17QYM
107201,1,5,B0186T37S8
100977,1,9,B01D8BSBWQ
10879,1,1,B0006HINDI
105484,1,1,B002C5W3KQ
102544,1,1,B003VKPCV8
100676,1,6,B00GF2KVLK
11041,1,3,B008VD9BQM
100198,1,1,B00FRLHTWE
101047,1,3,B0145GMT0S
03835,1,1,B001CROHX6
105338,1,1,B004MNO8HC
111775,1,1,B005HRZPY2
07614,1,1,B019TLO6LE
05478,1,6,B010XYJCP6
109679,1,1,B00IOEFBKS
100669,1,2,B009T87JSU
111389,1,1,B0002D0JX8
05851,1,2,B01D3D57YY
104290,1,1,B00HUWTYGC
02401,1,1,B00VKYKY7E
02021,1,1,B000EVSC8C
102467,2,2,B00FYJHJMY|B019IXWBUG
03205,2,2,B007TJGY6O|B015902LR0
107382,3,9,B0000025MH|B00QSGO4PC|B00UNA1OES
11224,3,3,B000G2R1Z4|B00WH69YTI|B015TC63LI
113235,3,3,B000ULPVPI|B00TW72M94|B01DIFF7NI
00415,3,10,B00004OCLC|B013L5VMPM|B019EQOTCU
10710,3,4,B001ULDAAU|B00MZGTB2U|B00OCLAVTI
103763,2,6,B0000DBMMO|B00IWU5MDK
110842,2,4,B001ACMBJK|B00UUJMTUK
105572,2,20,B01104WJCG|B01EOF5ZY2
