bin_id,asin_count,expected_quantity,quantity_sum,bucket,split,gold_detection,gold_identity,asin_list
00049,1,2,2,single,seed,False,False,B00KGVCJX4
00084,1,1,1,single,seed,False,False,B00SV2OP9Q
00086,1,1,1,single,seed,False,False,B00SV2OP9Q
00115,1,2,2,single,seed,False,False,B000W43GZA
00289,1,1,1,single,seed,False,False,B00R1DE0XC
00352,1,1,1,single,seed,False,False,B01EXM8GGU
00397,1,1,1,single,seed,False,False,B00VRAMCF8
00806,1,1,1,single,seed,False,False,B00GHYKQU2
00875,1,12,12,single,seed,False,False,B000RI6C7K
00879,1,1,1,single,seed,False,False,B00XZEV22S
00924,1,1,1,single,seed,False,False,B003RCGPCK
00976,1,1,1,single,seed,False,False,B00VH8IHT0
01060,1,1,1,single,seed,False,False,B00MS95U74
01078,1,2,2,single,seed,False,False,9332519080
01687,1,1,1,single,seed,False,False,193362275X
01748,1,2,2,single,seed,False,False,B00Q2VIW9M
01845,1,1,1,single,seed,False,False,B019RRZ93E
01849,1,1,1,single,seed,False,False,B003EMKNPS
01873,1,1,1,single,seed,False,False,B00GM02BUO
01881,1,2,2,single,seed,False,False,B009SZ2R04
02012,1,4,4,single,seed,False,False,B000H0G85Y
02017,1,7,7,single,seed,False,False,B005GQ6606
02019,1,7,7,single,seed,False,False,B005GQ6606
02021,1,1,1,single,seed,False,False,B000EVSC8C
02066,1,1,1,single,seed,False,False,B0051GN8SY
02115,1,2,2,single,seed,False,False,B013MCR41K
02278,1,2,2,single,seed,False,False,B00PLRGOKC
02320,1,1,1,single,seed,False,False,B01BZYSCP4
02401,1,1,1,single,seed,False,False,B00VKYKY7E
02492,1,1,1,single,seed,False,False,B00VI6BFBS
02641,1,1,1,single,seed,False,False,B00B3G89MQ
02699,1,2,2,single,seed,False,False,B00K1J0YAQ
02865,1,1,1,single,seed,False,False,B000088O9Y
02906,1,2,2,single,seed,False,False,B00M6HDTXK
02920,1,2,2,single,seed,False,False,B00IOFD096
03031,1,2,2,single,seed,False,False,B005FQH3B8
03037,1,1,1,single,seed,False,False,B000VPXIZS
03139,1,2,2,single,seed,False,False,B007PM9QLU
03141,1,2,2,single,seed,False,False,B007PM9QLU
03465,1,1,1,single,seed,False,False,B00VPVNHJY
03497,1,1,1,single,seed,False,False,B00D2JN87I
03619,1,1,1,single,seed,False,False,B00NBK9XL8
03624,1,1,1,single,seed,False,False,B01ASV6DAQ
03835,1,1,1,single,seed,False,False,B001CROHX6
03947,1,1,1,single,seed,False,False,B00JPSZ3LE
03948,1,1,1,single,seed,False,False,B0033PEFDC
03975,1,2,2,single,seed,False,False,B00542ZQ2Q
03992,1,1,1,single,seed,False,False,B00AX30MP2
03994,1,1,1,single,seed,False,False,B00AX30MP2
04158,1,1,1,single,seed,False,False,B01E709TK0
04254,1,1,1,single,seed,False,False,B00TUVMQI4
04281,1,5,5,single,seed,False,False,B0070WTV4M
04309,1,1,1,single,seed,False,False,B00UJ2GX82
04355,1,2,2,single,seed,False,False,B002138O4I
04374,1,2,2,single,seed,False,False,B01A7PYVS4
04393,1,1,1,single,seed,False,False,B014697C38
04457,1,1,1,single,seed,False,False,1585360562
04477,1,1,1,single,seed,False,False,B019W91GK2
04480,1,2,2,single,seed,False,False,B00LA116IS
04511,1,1,1,single,seed,False,False,B019HIC2MY
04514,1,1,1,single,seed,False,False,B00MDNB8C6
04548,1,2,2,single,seed,False,False,0803629516
04667,1,2,2,single,seed,False,False,B00542ZQ2Q
04713,1,2,2,single,seed,False,False,B011IISNJW
04837,1,1,1,single,seed,False,False,B01CSH5MYQ
04982,1,1,1,single,seed,False,False,B00S0TS1KY
05050,1,2,2,single,seed,False,False,B010D37NP8
05240,1,9,9,single,seed,False,False,3791354256
05242,1,9,9,single,seed,False,False,3791354256
05247,1,1,1,single,seed,False,False,B0176G38HC
05275,1,1,1,single,seed,False,False,B01DA1EK38
05277,1,1,1,single,seed,False,False,B01DA1EK38
05371,1,1,1,single,seed,False,False,B002BF9698
05388,1,1,1,single,seed,False,False,B019U00D7K
05397,1,1,1,single,seed,False,False,B00U2UZ40Y
05420,1,1,1,single,seed,False,False,B0009F3SAK
05478,1,6,6,single,seed,False,False,B010XYJCP6
05480,1,6,6,single,seed,False,False,B010XYJCP6
05533,1,1,1,single,seed,False,False,B00II8N0IK
05580,1,4,4,single,seed,False,False,B017KS1FPS
05605,1,1,1,single,seed,False,False,B00W1XN60A
05613,1,2,2,single,seed,False,False,B013TGFWMW
05745,1,1,1,single,seed,False,False,B00GGQMWO4
05849,1,2,2,single,seed,False,False,B01D3D57YY
05851,1,2,2,single,seed,False,False,B01D3D57YY
05998,1,1,1,single,seed,False,False,B000TJFWSM
06028,1,1,1,single,seed,False,False,B015MY23GW
06171,1,1,1,single,seed,False,False,B008CL5Y6O
06210,1,1,1,single,seed,False,False,B00WH1RG70
06228,1,2,2,single,seed,False,False,B01C8E3X40
06230,1,4,4,single,seed,False,False,B0008D6WBA
06259,1,1,1,single,seed,False,False,B012W4MPP4
06298,1,2,2,single,seed,False,False,B001LDKAU0
06388,1,1,1,single,seed,False,False,B01D6VEI16
06433,1,6,6,single,seed,False,False,B00HYRSJ9G
06436,1,1,1,single,seed,False,False,B0027UPPDI
06444,1,1,1,single,seed,False,False,B00NYGVIEO
06459,1,1,1,single,seed,False,False,B00MX8ZOVC
06488,1,1,1,single,seed,False,False,B00NGZE5LG
06618,1,2,2,single,seed,False,False,B01DLB5K72
06638,1,1,1,single,seed,False,False,B008872BTU
06651,1,1,1,single,seed,False,False,B00PR2XIDC
06703,1,1,1,single,seed,False,False,B00008KA7I
06764,1,1,1,single,seed,False,False,B001O5CCQK
06805,1,1,1,single,seed,False,False,B000NWGCZ2
06968,1,1,1,single,seed,False,False,B0098ZSOX8
06973,1,2,2,single,seed,False,False,B010VWT110
07031,1,1,1,single,seed,False,False,B016KX4B78
07060,1,2,2,single,seed,False,False,B007OX47S2
07093,1,1,1,single,seed,False,False,B01FZX2XX8
07109,1,1,1,single,seed,False,False,B00W045QT4
07257,1,1,1,single,seed,False,False,B00B9L7ZFW
07379,1,1,1,single,seed,False,False,B00LZJHZ44
07535,1,1,1,single,seed,False,False,B000VQYDHE
07547,1,2,2,single,seed,False,False,B009SD6TNM
07549,1,2,2,single,seed,False,False,B009SD6TNM
07567,1,1,1,single,seed,False,False,B003X51S00
07614,1,1,1,single,seed,False,False,B019TLO6LE
07616,1,1,1,single,seed,False,False,B019TLO6LE
07653,1,2,2,single,seed,False,False,B00DUGX90O
07763,1,1,1,single,seed,False,False,B00006IFGP
07783,1,1,1,single,seed,False,False,B00F1J8K4I
